EVENT	RDCLASS	SPD_KM	MED_INC	pop_dens_200	veh_type	BAD_WEAT	SEVERITY	DARK	Park_10	hosp_50	veh_mvt	Comm_Per	Res_Per	Inter_Acc
3916	4	60	70939	1207.12470587	car	0	2	1	0	0	straight	1.655038105	45.166603427	0
1872	5	50	45606	13601.2965901	car	1	1	1	0	0	leftturn	0.6348291577	67.2425949255	1
2969	5	50	37396	7883.50954919	VTB	0	1	0	0	0	leftturn	4.5171588672	54.6299026403	1
3946	4	60	42723	940.447210252	VTB	0	1	0	0	0	leftturn	12.6054776759	32.2552872674	1
5173	4	60	39931	4613.88417651	car	1	1	0	0	0	other	28.78153038	62.8977509003	1
5933	2	50	70342	2320.83226289	VTB	0	1	0	0	0	leftturn	0.8741665057	79.911238248	0
5070	4	60	25911	6179.55616976	VTB	0	1	0	0	0	leftturn	0.9428971327	74.0975916806	1
5706	2	80	38257	6909.58716185	car	1	1	1	0	0	straight	1.1313151492	81.3170140461	1
501	5	50	43168	5041.00230679	car	0	1	0	0	0	leftturn	19.2736268836	73.2508693304	0
3092	5	50	33169	13791.9118056	VTB	1	2	0	0	0	leftturn	4.7438003834	68.6621185148	1
4028	4	60	70939	1207.12470587	car	0	1	0	0	1	other	0.0745220063	24.2092039464	0
198	5	50	93145	3404.70495818	car	0	1	0	0	0	other	0	88.0373814508	0
4560	4	60	33735	3451.71667914	VTB	0	1	0	0	0	leftturn	0.5542315487	49.3272509569	1
381	5	60	96383	267.625770551	car	1	2	0	0	0	straight	0.8705822329	4.995803989	0
4998	4	60	39942	16299.8893901	car	0	1	0	0	0	leftturn	8.6811751703	61.6260689326	1
849	5	50	37444	4388.9324286	car	0	1	0	0	0	straight	1.5766434394	45.1487726473	0
619	5	50	39849	9367.50540581	car	0	0	0	1	0	leftturn	0.7361338297	70.1773560436	1
5536	4	60	40495	5199.5192791	car	1	0	0	0	0	leftturn	1.5356192972	80.2200614825	1
196	5	50	46328	4089.37388687	car	1	0	0	0	0	straight	49.7881599103	34.1364926207	1
